observation_date	CEU43
01/01/2007	97.1
01/02/2007	97.3
01/03/2007	98.1
01/04/2007	98.8
01/05/2007	99.6
01/06/2007	100.7
01/07/2007	100.1
01/08/2007	99.8
01/09/2007	102.6
01/10/2007	100.6
01/11/2007	101.7
01/12/2007	103.6
01/01/2008	98.3
01/02/2008	97.9
01/03/2008	99.9
01/04/2008	99.3
01/05/2008	99.8
01/06/2008	101.9
01/07/2008	98.8
01/08/2008	99.3
01/09/2008	99.9
01/10/2008	99
01/11/2008	98.9
01/12/2008	98.7
01/01/2009	93.6
01/02/2009	93.1
01/03/2009	93.4
01/04/2009	91.2
01/05/2009	92.6
01/06/2009	92.3
01/07/2009	91
01/08/2009	92
01/09/2009	92.3
01/10/2009	92
01/11/2009	92.7
01/12/2009	92.9
01/01/2010	88.2
01/02/2010	86.6
01/03/2010	88.6
01/04/2010	89.7
01/05/2010	91.9
01/06/2010	92.4
01/07/2010	92.3
01/08/2010	93.5
01/09/2010	93.6
01/10/2010	94.1
01/11/2010	95.1
01/12/2010	97.1
01/01/2011	92.1
01/02/2011	92
01/03/2011	93.5
01/04/2011	93.8
01/05/2011	95.3
01/06/2011	95.9
01/07/2011	94.9
01/08/2011	94.9
01/09/2011	96.1
01/10/2011	97.1
01/11/2011	96.7
01/12/2011	98.1
01/01/2012	94.3
01/02/2012	93.7
01/03/2012	94.7
01/04/2012	95
01/05/2012	96.4
01/06/2012	97.3
01/07/2012	97
01/08/2012	96.9
01/09/2012	99
01/10/2012	98.3
01/11/2012	99.7
01/12/2012	103.3
01/01/2013	96.4
01/02/2013	96.4
01/03/2013	97.4
01/04/2013	97.3
01/05/2013	98.8
01/06/2013	100.5
01/07/2013	98.1
01/08/2013	99.1
01/09/2013	101.8
01/10/2013	101
01/11/2013	102.5
01/12/2013	106.6
01/01/2014	99.5
01/02/2014	98.5
01/03/2014	100.3
01/04/2014	100.3
01/05/2014	102
01/06/2014	103.3
01/07/2014	102.2
01/08/2014	102.9
01/09/2014	104.7
01/10/2014	105.3
01/11/2014	107.7
01/12/2014	111.8
01/01/2015	104.5
01/02/2015	104.5
01/03/2015	105.8
01/04/2015	105.5
01/05/2015	107.2
01/06/2015	108.1
01/07/2015	107.9
01/08/2015	109.9
01/09/2015	109.9
01/10/2015	109.6
01/11/2015	112.3
01/12/2015	117.1
01/01/2016	108.9
01/02/2016	107.4
01/03/2016	108.5
01/04/2016	108.6
01/05/2016	110.5
01/06/2016	110.6
01/07/2016	110.3
01/08/2016	110.5
01/09/2016	112.8
01/10/2016	113.7
01/11/2016	115.1
01/12/2016	120
01/01/2017	112.2
01/02/2017	110.6
01/03/2017	110.6
01/04/2017	112.4
01/05/2017	113.7
01/06/2017	115.2
01/07/2017	115.1
01/08/2017	114.8
01/09/2017	116.5
01/10/2017	118.3
01/11/2017	120.6
01/12/2017	124
01/01/2018	116
01/02/2018	116.4
01/03/2018	117
01/04/2018	118.8
01/05/2018	119.4
01/06/2018	121.1
01/07/2018	121.5
01/08/2018	121.5
01/09/2018	123.8
01/10/2018	123.8
01/11/2018	128.1
01/12/2018	132.4
01/01/2019	122.5
01/02/2019	120.9
01/03/2019	121.9
01/04/2019	122.2
01/05/2019	123.3
01/06/2019	125.6
01/07/2019	123.5
01/08/2019	123.7
01/09/2019	126.9
01/10/2019	126.6
01/11/2019	130.2
01/12/2019	136.3
01/01/2020	126.7
01/02/2020	125.1
01/03/2020	124.7
01/04/2020	110.1
01/05/2020	112.9
01/06/2020	117.6
01/07/2020	118.9
01/08/2020	123.1
01/09/2020	125.7
01/10/2020	129.5
01/11/2020	137.1
01/12/2020	140.7
01/01/2021	131.2
01/02/2021	130
01/03/2021	132.7
01/04/2021	132
01/05/2021	133.8
01/06/2021	133.7
01/07/2021	132.6
01/08/2021	135
01/09/2021	136.1
01/10/2021	139.2
01/11/2021	143.7
01/12/2021	148.4
